Interval=	0.0025 s
ExcelDateTime=	4.4620597823331671e+004	2/28/2022 14:20:51.935856
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	1000.0 µV
0.87	6.1
0.8725	13.4
0.875	4.9
0.8775	-9.5
0.88	-15.8
0.8825	-13.1
0.885	-6.3
0.8875	-0.4
0.89	5.6
0.8925	13.7
0.895	12.3
0.8975	4.8
0.9	-1.2
0.9025	-10.5
0.905	-7.8
0.9075	2.5
0.91	6.2
0.9125	11.8
0.915	8.2
0.9175	0.4
0.92	3.8
0.9225	6.1
0.925	1.8
0.9275	-3.4
0.93	-4.4
0.9325	-5.1
0.935	-9.5
0.9375	-6.3
0.94	3.5
0.9425	5.7
0.945	0.8
0.9475	1.0
0.95	4.2
0.9525	6.1
0.955	6.8
0.9575	6.7
0.96	7.7
0.9625	7.6
0.965	6.6
0.9675	8.4
0.97	16.3
0.9725	16.6
0.975	2.5
0.9775	-11.7
0.98	-16.5
0.9825	-12.3
0.985	-8.3
0.9875	-3.6
0.99	5.3
0.9925	7.8
0.995	2.3
0.9975	-4.7
1	-12.8
1.0025	-9.0
1.005	3.1
1.0075	6.6
1.01	1.8
1.0125	-3.2
1.015	-1.9
1.0175	0.3
1.02	1.0
1.0225	0.7
1.025	0.1
1.0275	3.9
1.03	-0.0
1.0325	-8.9
1.035	-4.5
1.0375	-1.3
1.04	-0.9
1.0425	2.7
1.045	2.0
1.0475	1.1
1.05	3.9
1.0525	9.7
1.055	9.7
1.0575	3.3
1.06	2.4
1.0625	2.8
1.065	0.2
1.0675	-0.7
1.07	0.1
1.0725	3.2
1.075	4.2
1.0775	1.2
1.08	1.6
1.0825	5.8
1.085	7.1
1.0875	4.9
1.09	4.5
1.0925	8.3
1.095	9.6
1.0975	3.9
1.1	-0.8
1.1025	1.0
1.105	2.9
1.1075	2.3
1.11	0.8
1.1125	-2.2
1.115	-4.0
1.1175	-5.7
1.12	-4.6
1.1225	-1.7
1.125	2.1
1.1275	6.9
1.13	2.0
1.1325	-4.7
1.135	-0.7
1.1375	5.1
1.14	6.6
1.1425	3.9
1.145	-1.2
1.1475	-3.6
1.15	-2.6
1.1525	-2.3
1.155	-3.1
1.1575	-2.7
1.16	-1.5
1.1625	-2.1
1.165	-4.4
1.1675	-3.5
1.17	0.7
1.1725	3.5
1.175	1.3
1.1775	-0.8
1.18	-2.3
1.1825	-7.3
1.185	-4.9
1.1875	-0.3
1.19	-2.5
1.1925	-4.0
1.195	-4.8
1.1975	-7.5
1.2	-8.0
1.2025	-3.3
1.205	4.9
1.2075	-1.1
1.21	-15.0
1.2125	-7.4
1.215	6.6
1.2175	5.6
1.22	-7.6
1.2225	-13.7
1.225	-3.6
1.2275	4.4
1.23	6.5
1.2325	8.8
1.235	8.4
1.2375	11.4
1.24	15.0
1.2425	10.6
1.245	16.5
1.2475	15.2
1.25	-0.6
1.2525	0.9
1.255	6.8
1.2575	9.2
1.26	9.3
1.2625	-1.8
1.265	-3.7
1.2675	2.4
1.27	-3.7
1.2725	-4.3
1.275	-4.8
1.2775	-9.6
1.28	-6.6
1.2825	-6.9
1.285	-8.6
1.2875	-9.4
1.29	-10.1
1.2925	-7.8
1.295	-6.8
1.2975	-11.7
1.3	-16.1
1.3025	-13.7
1.305	-10.9
1.3075	-11.4
1.31	-14.9
1.3125	-15.1
1.315	-13.5
1.3175	-15.6
1.32	-17.6
1.3225	-13.5
1.325	-5.8
1.3275	-4.0
1.33	-4.0
1.3325	-3.8
1.335	-6.8
1.3375	-4.1
1.34	2.2
1.3425	-4.1
1.345	-12.8
1.3475	-8.6
1.35	-7.1
1.3525	-11.9
1.355	-11.5
1.3575	-10.0
1.36	-13.3
1.3625	-12.3
1.365	-2.2
1.3675	7.4
1.37	10.1
1.3725	4.6
1.375	3.2
1.3775	-1.2
1.38	-10.7
1.3825	-9.7
1.385	-5.8
1.3875	-2.6
1.39	3.8
1.3925	9.4
1.395	5.8
1.3975	0.7
1.4	-0.4
1.4025	-1.5
1.405	-4.1
1.4075	-3.4
1.41	-0.0
1.4125	0.5
1.415	0.4
1.4175	1.5
1.42	6.2
1.4225	4.3
1.425	5.5
1.4275	10.3
1.43	4.8
1.4325	2.8
1.435	1.3
1.4375	-0.8
1.44	-0.2
1.4425	1.1
1.445	7.2
1.4475	6.1
1.45	2.8
1.4525	9.3
1.455	8.1
1.4575	8.1
1.46	7.9
1.4625	-0.9
1.465	-2.1
1.4675	-4.7
1.47	-4.8
1.4725	-1.5
1.475	-7.3
1.4775	-12.3
1.48	-15.0
1.4825	-12.9
1.485	-3.5
1.4875	-0.1
1.49	-3.9
1.4925	-5.3
1.495	-4.4
1.4975	-5.8
1.5	-2.7
1.5025	4.5
1.505	1.4
1.5075	-6.7
1.51	-9.4
1.5125	-1.9
1.515	11.4
1.5175	9.3
1.52	-1.4
1.5225	-4.2
1.525	-4.3
1.5275	-3.0
1.53	-7.7
1.5325	-13.7
1.535	-8.3
1.5375	-0.3
1.54	5.2
1.5425	9.7
1.545	9.0
1.5475	5.9
1.55	5.8
1.5525	5.0
1.555	3.0
1.5575	-0.4
1.56	-5.8
1.5625	-5.4
1.565	0.8
1.5675	0.4
1.57	-2.0
1.5725	2.6
1.575	9.2
1.5775	6.5
1.58	-4.6
1.5825	-0.2
1.585	8.5
1.5875	4.3
1.59	2.0
1.5925	0.8
1.595	1.0
1.5975	1.3
1.6	0.3
1.6025	5.3
1.605	11.3
1.6075	11.2
1.61	5.9
1.6125	6.4
1.615	12.1
1.6175	10.8
1.62	2.8
1.6225	2.4
1.625	4.4
1.6275	-2.8
1.63	-8.5
1.6325	-5.1
1.635	2.0
1.6375	7.0
1.64	9.6
1.6425	9.2
1.645	10.0
1.6475	9.0
1.65	1.8
1.6525	-1.2
1.655	2.0
1.6575	6.8
1.66	2.9
1.6625	2.5
1.665	4.8
1.6675	-3.9
1.67	4.3
1.6725	9.0
1.675	-8.7
1.6775	-10.2
1.68	-8.6
1.6825	-15.9
1.685	-17.6
1.6875	-17.2
1.69	-12.5
1.6925	-6.9
1.695	-6.0
1.6975	-6.5
1.7	-2.3
1.7025	3.9
1.705	-0.1
1.7075	-5.9
1.71	-3.9
1.7125	-6.6
1.715	-7.2
1.7175	-8.9
1.72	-11.8
1.7225	-4.3
1.725	0.3
1.7275	-3.8
1.73	-10.0
1.7325	-6.8
1.735	3.4
1.7375	6.0
1.74	4.6
1.7425	2.0
1.745	-5.3
1.7475	-4.1
1.75	1.2
1.7525	3.7
1.755	5.8
1.7575	8.4
1.76	12.1
1.7625	11.3
1.765	9.1
1.7675	0.7
1.77	0.6
1.7725	9.4
1.775	4.1
1.7775	1.8
1.78	6.0
1.7825	1.3
1.785	-2.6
1.7875	7.1
1.79	10.8
1.7925	10.5
